Date,headline,text,,,,,,,,,,,,,,,
2022/11/28,Top-Ranked Hedge Fund Makes Contrarian Bet on Meta,"As most techology stocks reel from higher interest rates and slowing growth, one top-performing hedge fund manager is going against the tide to bet on the sinking shares of Facebook-owner Meta Platforms. Expensive Silicon Valley tech wouldn’t normally feature on the shopping list for the Liontrust GF Tortoise Fund, which its manager Tom Morris describes as a “value-focused hedge fund,�?seeking out shares it deems to be cheap“We are value managers but parts of tech are actually value stocks now,�?said Morris, who co-manages the $600 million fund with Matthew SmithTortoise has outperformed 99% of its long-short equity fund peers this year, with returns of about 22%, compared with the 12% decline of the  Equity Long/Short Hedge Fund IndexNow though, Morris reckons it’s time to be “sensibly contrarian�?For perspective, Meta doesn’t rank among the 25 largest holdings of the $20.4 billion iShares ESG Aware MSCI USA ETFSeparately, Meta Platforms was slapped with a �?65 million ($277 million) fine for failing to prevent the leak of personal data for more than half a billion users of its Facebook service",,,,,,,,,,,,,,,
2022/11/27,Deutsche Bank’s DWS CEO Mulls New Legal Setup,"DWS Group CEO Stefan Hoops is considering changing the firm’s legal structure as part of his effort to raise the appeal of the firm to a broader range of shareholders. One option for the head of Deutsche Bank’s asset-management arm is to switch the current setup, which curbs the influence of minority shareholders, into the German form equivalent to a UK PlcIt’s not clear whether Hoops plans to make reference the possible plan during a strategy update in two weekSHoops is conducting a broad review of DWS ahead of Dec. 7 where he will lay out his vision for the asset manager six months after taking over as CEO amid allegations of greenwashing under his predecessorThe appeal of DWS to clients and investors is a key consideration and he has questioned the strength of the DWS brand in regions outside Germany	Goldman Sachs�?ESG penalty from the SEC bodes well for Deutsche bank and DWS, according to analysts at  Intelligence",,,,,,,,,,,,,,,
2022/11/24,"JPMorgan, Deutsche Bank Sued by Epstein Accusers","JPMorgan Chase & Co. and Deutsche Bank AG were accused of enabling the sexual abuse perpetrated by Jeffrey Epstein in New York class action suits that allege the banks turned a blind eye in order to “churn profits.�?The lawsuits, filed separately in a New York court, allege the banks had “knowingly benefited and received things of value for assisting, supporting, facilitating, and otherwise providing the most critical service for the Jeffrey Epstein sex trafficking organization”JPMorgan was accused in the suit of “financially benefiting from participating�?in the alleged sex trafficking through providing financial support from 1998 to August 2013Deutsche Bank was accused of knowing that they would “earn million of dollars�?from its relationship with EpsteinThe suits threaten to return the spotlight to Wall Street and the nature of its links to Epstein. A Who’s Who of prominent financiers, entrepreneurs, politicians and even royals have been tainted by their association with the convicted pedophile",,,,,,,,,,,,,,,
2022/11/23,Tech Job Cuts Increase ‘Anxiety�?Across Industry,"After years of exuberant growth and hiring, layoffs have burst the bubble of Silicon Valley inviolability. As of Nov. 15, tech companies had announced 31,200 job cuts so far this month, according to Challenger, Gray & ChristmasThe human-resources consulting firm says that’s the highest monthly total since September 2015, when a restructuring Hewlett-Packard said it would slash thousands of positionsMeta, Twitter and Amazon.com have all slashed their ranks, or said cuts are coming. HP said Tuesday it planned to cut as many as 6,000 positions over the next three years",,,,,,,,,,,,,,,
2022/11/22,"Amundi, DWS Reclassify Funds in Major Industry Reset","Amundi and Deutsche Bank’s DWS Group are downgrading billions of dollars worth of ESG funds, adding to the sense of disarray that’s spreading across Europe’s asset management industry as it digests stricter regulatory guidance. Amundi is reclassifying almost all funds listed under the EU’s top ESG category, known as Article 9. Instead, the funds will be classified as Article 8, referring to the EU’s less stringent ESG fund classThe decision affects close to �?5 billion ($46 billion) of Amundi’s Article 9 productsA DWS spokesperson said its downgrades will impact about �? billion of fund assetsMorningstar said it expects that at least $85 billion of industrywide Article 9 funds will be downgraded in the coming weeks and months“We expect many, if not all, of what we call ‘climate conscious�?and ‘low carbon�?funds to shift from Article 9 to Article 8,�?said Hortense Bioy, Morningstar’s global director of sustainability research",,,,,,,,,,,,,,,
2022/11/21,Amundi Joins Growing List of Firms Downgrading Funds,"Amundi, Europe’s largest asset manager, is removing the region’s highest ESG designation from virtually all funds that have it, as the firm tries to interpret changes in regulatory guidelines. Due to the “still evolving regulatory environment,�?Amundi has opted to take “a conservative approach�?and reclassify “almost all of its range�?of funds listed under the EU’s highest ESG category, known as Article 9, an Amundi spokesperson saidInstead, the funds will be classified as Article 8, the spokesperson said, referring to the EU’s less stringent ESG fund classAmundi is the latest in a growing list of investment firms impacted by changes to the EU’s anti-greenwash rulebook, the Sustainable Finance Disclosure RegulationIntended as a global gold standard for ESG investing, the framework has been tainted by seemingly endless gaps and inconsistencies that have caught out firms including BlackRock, Axa Investment Management and Pimco",,,,,,,,,,,,,,,
2022/11/21,COP27 Approves Last-Ditch Historic Climate Deal,"The COP27 climate talks in Egypt, which came close to collapse in the closing stretches, ended with an early-hours deal to create a fund to pay poorer countries for the harm caused by climate change. The agreement on loss and damage is a landmark moment in global climate politics  an acknowledgment that richer nations are responsible to the developing world for the harm caused by rising temperaturesBut the fractious summit, which took place against the background of a global energy crisis sparked by Russia’s invasion of Ukraine, exposed fault lines on how the world should navigate the transition away from fossil fuelsAnd it did little to advance the ambitions of last year’s COP in Glasgow to rein in harmful greenhouse gas emissions",,,,,,,,,,,,,,,
2022/11/17,SLB Issuers Find Themselves Facing Possible Penalties,"The revival of fossil fuels in European energy policy risks triggering the first wave of financial penalties in the global market for ESG bonds. A test case is about to unfold in Greece, where energy supplier Public Power Corp. may find it “virtually impossible�?to meet the end-of-year emissions target on some of its debt, according to an analysis conducted by the Anthropocene Fixed Income InstituteThat’s as regulators, government officials and industry representatives agree on crisis policies that are delaying the company’s phaseout of lignite coal production, which also may make it challenging to meet a separate 2023 target, AFII saidThe debt in question is a sustainability-linked bond. SLBs typically see issuers pay a penalty if they miss pre-determined ESG goals. But with Europe’s decision to ramp up coal production in response to the current energy crisis, near-term climate commitments are being derailed and leaving many utilities with little choice but to adapt",,,,,,,,,,,,,,,
2022/11/16,FAANG-Related Bets May Do More Harm Next Year,"ESG investors holding so-called FAANG stocks with the hope that 2023 will right some of this year’s wrongs may be in for a nasty surprise. Facebook parent Meta Platforms, Amazon.com, Apple, Netflix and Google parent Alphabet dominate some of the biggest ESG funds and are a big reason they’ve underperformed this yearIn the past 12 months, the MSCI World Information Technology Index fell about 25%, with Amazon down more than 45% and Meta losing about two-thirds of its valueThose losses may not be the end of the bad streak. “We could potentially see a continuation of some of the issues that we’ve had in the tech sector next year,�?Amarachi Seery, a sustainability analyst at Janus Henderson",,,,,,,,,,,,,,,
2022/11/15,Battery Storage Tops List for Climate-Tech Investors,"At least $369 billion. That’s the amount of money made available to bolster clean energy from the landmark Inflation Reduction Act. And investors are circling. Opportunities range from renewable and nuclear energy to electric vehicles and newer technologies such as batteries, hydrogen and carbon capture, utilization and storageThe battery-storage market was picked as the sector with the most potential in a  News survey of Terminal and .com readersRoughly 27% of the 691 respondents picked battery storage as their top pick. Solar and wind companies placed second at 18%, followed by green hydrogen, carbon capture and EV manufacturers	It’s official: The supply chain for electric-vehicle batteries is coming to America",,,,,,,,,,,,,,,
